Timestamp,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname (Leave blank to remain anonymous),Where do you live / 居住地. ,Display Icon/Picture (.png),Fan Message (Maximum 300 characters),(Optional) Illustration Submission - .png or .psd files preferred,**Fill only if you submitted a commissioned work** Artist Name/TwitterID - Leave blank if you submitted your own work
6/24/2021 0:17:09,Krye#4425/@Krye__,Cherry Blossoms/Krye,Philippines,https://drive.google.com/open?id=1xS1eIaQYo9plrSHJQXTYkyRgVfiD8UaA,"Hi Lamy-chan! Happy 1st anniversary!
Thank you, for your kind words, cute laughs, and very fun streams. You have certainly brought colour to my life and made it better, and for that I thank you! Here’s to another year full of happiness! (and drinking) I love you to the moon and back <3",,
6/24/2021 0:35:48,JorgeRR#3168,JorgeRR 北雪 Hokusetsu,Canada,https://drive.google.com/open?id=1exsGe7aBz_CAi4zGw2ten5cJ4K6pk6DR,"Congratulations on your 1st anniversary Lamy! I can't believe it's already been a year with you and what a year it has been! I love seeing you stream and it has quickly become one of my favourite things, the morning streams especially. Thank you so much for being here Lamy and Happy Anniversary!",,
6/24/2021 1:11:56,Majiene#2037 / @Rivicen2,Rivicen,United States of America,,"I first met Lamy when I watched a clip of Oozora Police questioning Lamy.  I laughed so hard my stomach hurt.  I listen to your ASMR streams whenever I had a hard day and I feel refreshed again.  You are so cute, but your comedy with others is also great, it's amazing!  I will support Lamy forever!",,
6/24/2021 3:29:55,Zherus#1170,Zehr,Prefer not to say / 答えたくない,https://drive.google.com/open?id=1Xh9VRCaW4rKwScfdW7iPxOXcu8B2cVYO,Happy Debut Anniversary Lamy. I've seen how you opened up and become braver and become more genuine(?) since day 1 also including your love for alcoholic drinks. Looking forward to spend another year with you. May you be blessed in your life Lamy,,
6/24/2021 11:00:50,ProfessorBlimp#1115,Ibuki,United States of America,https://drive.google.com/open?id=1JZ0dWpKOssuoMbKUCLN70qPJ_pkCJB7_,"Hello Lamy! I just wanted to say Hello and thank you for all the fun and happy times you've given not just us, but me too! You've made me smile so brightly ever since you debuted, you've easily become my favorite Hololive member! I hope to see your bright smile and happy laugh for many more years!~",,
6/25/2021 1:44:20,Raze Yukihana#9440 /Raze雪花 (@RazeYukihana),Raze雪花,Singapore,https://drive.google.com/open?id=1gFehvyG1WKXi8B-HldHuVnBqBqzxPzfR,"Happy 1st Anniversary Lamy!  Thank you for joining the Hololive and been known throughout the world. You have saved me countless times by giving me such fun and memorable time since your debut. I will always cheer you on and Love you forever~ ❤❤❤

❄❄❄May the Snowflakes bloom for a brighter future❄❄❄",https://drive.google.com/open?id=1JwLhNK6kFN5TPSgdW4_aCoHF9ANJ0SRa,
6/25/2021 2:42:51,Raze Yukihana#9440 / Raze雪花 (@RazeYukihana),Raze雪花,Singapore,https://drive.google.com/open?id=1GQXyZY8YA7FmGrRucgyt1SKOvAKARdnc,"Happy 1st Anniversary Lamy! Thank you for joining the Hololive and been known throughout the world. I have been saved countless times from all the fun and memorable streams since your debut. I will cheer you on and Love you forever till the end!~♥

❆❆❆ May the Snowflake bloom into a Shining Star ❆❆❆",https://drive.google.com/open?id=14BR2RR3w_3t_7UXQBR0GkQsWt4HUQBWK,
6/25/2021 12:48:13,@miyabi_neko_mk3,みやびねこ,Japan,https://drive.google.com/open?id=1Qe_zHFcMQnvKCtcjYHCSssRr1MV-C-J0,"ラミィちゃん活動1周年おめでとうございます！
最初は癒やし系とか清楚枠とか言われているような感じで、以前も話していたように遠慮しているような感じがして、面白い人が好きな自分にはあまり刺さらないように感じていました
ですが、ぶっとんでる5期生の一人だなと感じるくらい、クールでイカれてるぜ！と感じています！
これからもなにかスイッチはいるととんでもないラミィちゃんを期待してます！",,
6/29/2021 0:54:21,ceej#0061 / @_revelink,せちゃんceej,Philippines,https://drive.google.com/open?id=1o32gk-0sWc5ybgZCYB96K9QuvyPtdSSd,"1周年おめでとうございます、ラミィちゃん！ヽ(*´ω｀*)丿
私がホロライブを好きになった一番の理由がラミィちゃんでよかったと思います。初めてラミィちゃんを見たとき、心の底から「ずっと応援したい人ができた」と気持ちになりました！
これからも頑張って雪民のみんなを幸せにしてください、応援しています〜 私は最後まで君を愛し続けます！ラミィちゃん、私はずっと大好きだよ！You are always my number one, Lamy! (^o^)و💙☃️",,
6/29/2021 8:27:59,nonJerry#0001,nonJerry,Germany,https://drive.google.com/open?id=1DCkJ-VbGyHskVvx9PnKxIhI9GJugl_h0,Congratulations for your 1 year anniversary! Thank you for being my beloved Oshi since the moment I watched one stream from you. Sadly it was not your debut live but 4 days later the archive. It has been fun watching you for almost a whole year now. Thank you for being our beloved ice elf! 💙⛄,,
